max(Dacoity),max(Robbery),DISTRICT
0,0,"TRIVANDRUM COMMR."
0,0,"TRIVANDRUM RURAL"
1,1,ANUPPUR
1,0,"ASHOK NAGAR"
0,0,BURHANPUR
0,0,GRP(RLY)
0,0,FEROZPUR
0,0,KRISHNAGIRI
0,0,BASKA
0,0,CHIRANG
0,3,UDALGURI
0,0,SURAJPUR
0,0,MEWAT
0,0,VILUPPURAM
0,0,"VIJAYAWADA CITY"
0,0,PALWAL
0,0,"BORDER DISTRICT"
0,0,"MUMBAI COMMR."
0,0,"IMPHAL EAST"
0,0,"IMPHAL WEST"
0,0,"SAS NGR"
0,0,"JAIPUR EAST"
0,0,"JAIPUR NORTH"
0,0,"JAIPUR RURAL"
0,0,"JAIPUR SOUTH"
0,0,"JODHPUR CITY"
0,0,"JODHPUR RURAL"
0,0,"KOTA CITY"
0,0,"KOTA RURAL"
0,0,KARAIKAL
3,0,KHUNTI
0,0,RAMGARH
0,0,LONGLENG
0,0,"AMRITSAR RURAL"
0,0,"A and N ISLANDS"
0,0,OUTER
0,0,DANTEWADA
0,0,TAPI
0,0,BANDIPORA
0,0,KISHTWAR
0,0,SAMBA
0,0,SHOPIAN
0,0,CBPURA
0,0,RAMANAGAR
0,0,ALIRAJPUR
0,0,SINGRAULI
0,0,CID
0,0,"DCP BBSR"
0,0,"DCP CTC"
0,0,"LUDHIANA RURAL"
0,0,"SBS NAGAR"
0,0,CHENNAISUBURBAN
0,0,"KANSHIRAM NAGAR"
0,0,CAW
0,0,"CRIME BRANCH"
0,0,EOW
0,0,SOUTH-EAST
0,0,PUDUCHERRY
0,0,ANJAW
0,0,BADDIPOLICEDIST
0,0,"RAILWAYS KMR"
0,0,TIRUPPUR
0,0,"GUNTUR URBAN"
0,0,RAJAHMUNDRY
0,0,"TIRUPATHI URBAN"
0,0,"WARANGAL URBAN"
0,0,RURAL
0,0,"CID CRIME"
0,0,C.B.KASHMIR
0,0,RAILWAYSKMR
0,0,SOPORE
0,0,YADGIRI
0,0,"CP AMRITSAR"
0,0,"CP JALANDHAR"
0,0,"CP LUDHIANA"
0,0,"JALANDHAR RURAL"
0,0,"G.R.P. AJMER"
0,0,"G.R.P. JODHPUR"
0,0,"CSM NAGAR"
0,0,"RAMABAI NAGAR"
0,0,GARIYABAND
0,0,"KUTCH (EAST(G))"
0,0,"KUTCH (WEST-BHUJ)"
